"No","NOMOR_PBK","TGL_DOKUMEN","TGL_BERLAKU","JUMLAH_PBK","CURRENCY_PBK","TIPE_PBK","FG_STATUS","NPWP","KPP","CAB","NAMA","MAP","KD SETOR","MASA PAJAK","TAHUN PAJAK","KPPADM_LB","NPWP","KPP","CAB","NAMA","MAP","KD SETOR","MASA PAJAK","TAHUN PAJAK","NO PROD HUKUM","KPPADM_KB","NTPN"
"12","PBK-00587/III/WPJ.20/KP.0703/2022","20220321","20220210","1,695,260","IDR","MASA","SETUJU","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","100","10","2021","007","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","104","10","2021","","007","1755E743N0N3T5H0"
"13","PBK-00588/III/WPJ.20/KP.0703/2022","20220321","20220210","5,495,709","IDR","MASA","SETUJU","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","100","11","2021","007","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","104","11","2021","","007","A1BC180H6R9GD963"
"14","PBK-00589/III/WPJ.20/KP.0703/2022","20220321","20220210","1,239,417","IDR","MASA","SETUJU","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","100","12","2021","007","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","104","12","2021","","007","A0B763IDNMDIFPFC"
"15","PBK-00590/III/WPJ.20/KP.0703/2022","20220321","20211231","818,549","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","920","12","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411211","920","2","2022","","007","3B53E2M01TV991P5"
"16","PBK-00591/III/WPJ.20/KP.0703/2022","20220321","20211022","420,000","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411122","920","10","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411211","920","10","2021","","007","667514EQR8IOFBOS"
"17","PBK-00592/III/WPJ.20/KP.0703/2022","20220321","20220210","451,546","IDR","MASA","SETUJU","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","100","1","2022","007","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","104","1","2022","","007","83B984ER7H2QGTGJ"
"18","PBK-00593/III/WPJ.20/KP.0703/2022","20220321","20220210","45,200","IDR","MASA","SETUJU","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","100","1","2021","007","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","104","1","2021","","007","8E53E80H6R9EIO3V"
"19","PBK-00594/III/WPJ.20/KP.0703/2022","20220321","20211202","9,684,622","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","900","10","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411211","920","10","2021","","007","1C4B95E3FLDVDCDQ"
"20","PBK-00596/III/WPJ.20/KP.0703/2022","20220321","20211028","38,745","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411221","920","10","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411211","920","10","2021","","007","4C91B2LVRL06COND"
"21","PBK-00579/III/WPJ.20/KP.0703/2022","20220318","20220120","109,301,865","IDR","MASA_HUTANG","SETUJU","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","100","12","2021","007","032573461","005","000","JASAMARGA RELATED BUSINESS","411126","300","4","2021","00627/106/21/007/21","007","CBBCE1SDJB5DP3VQ"
"22","PBK-00580/III/WPJ.20/KP.0703/2022","20220318","20220120","105,439,897","IDR","MASA_HUTANG","SETUJU","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","100","12","2021","007","032573461","005","000","JASAMARGA RELATED BUSINESS","411126","300","6","2021","00623/106/21/007/21","007","CBBCE1SDJB5DP3VQ"
"23","PBK-00581/III/WPJ.20/KP.0703/2022","20220318","20220120","107,316,557","IDR","MASA_HUTANG","SETUJU","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","100","12","2021","007","032573461","005","000","JASAMARGA RELATED BUSINESS","411126","300","5","2021","00626/106/21/007/21","007","CBBCE1SDJB5DP3VQ"
"24","PBK-00582/III/WPJ.20/KP.0703/2022","20220318","20220120","103,463,237","IDR","MASA_HUTANG","SETUJU","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","100","12","2021","007","032573461","005","000","JASAMARGA RELATED BUSINESS","411126","300","7","2021","00622/106/21/007/21","007","CBBCE1SDJB5DP3VQ"
"25","PBK-00583/III/WPJ.20/KP.0703/2022","20220318","20220120","104,442,303","IDR","MASA_HUTANG","SETUJU","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","100","12","2021","007","032573461","005","000","JASAMARGA RELATED BUSINESS","411126","300","8","2021","00625/106/21/007/21","007","CBBCE1SDJB5DP3VQ"
"26","PBK-00558/III/WPJ.20/KP.0703/2022","20220317","20220210","131,250","IDR","MASA","SETUJU","016742256","015","000","KETROSDEN TRIASMITRA","411121","100","1","2022","007","016742256","015","000","KETROSDEN TRIASMITRA","411124","100","1","2022","","007","7FFF100NOCOFJ6M4"
"27","PBK-00559/III/WPJ.20/KP.0703/2022","20220317","20220309","1,827,235,461","IDR","MASA","SETUJU","013139670","007","000","DIAN GRAHA ELEKTRIKA","411211","100","3","2021","007","013139670","007","000","DIAN GRAHA ELEKTRIKA","411121","100","1","2021","","007","975F20T5B7GKESAO"
"28","PBK-00560/III/WPJ.20/KP.0703/2022","20220317","20211229","1,414,140,545","IDR","MASA","SETUJU","013859343","007","000","ITAMA RANORAYA TBK.","411211","910","12","2021","007","013859343","007","000","ITAMA RANORAYA TBK.","411126","100","3","2022","","007","211821303022645"
"29","PBK-00561/III/WPJ.20/KP.0703/2022","20220317","20211202","1,452,693","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411122","900","10","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411122","920","10","2021","","007","002443L8G0943SES"
"30","PBK-00562/III/WPJ.20/KP.0703/2022","20220317","20200114","56,312,500","IDR","MASA","SETUJU","801494204","006","000","ASTRA MODERN LAND","411128","402","12","2019","007","801494204","006","000","ASTRA MODERN LAND","411128","402","12","2019","","007","5E2D1741DU17EHF8"
"31","PBK-00563/III/WPJ.20/KP.0703/2022","20220317","20210115","568,182","IDR","MASA","SETUJU","801494204","006","000","ASTRA MODERN LAND","411128","402","12","2020","007","801494204","006","000","ASTRA MODERN LAND","411128","402","12","2020","","007","BCF604EQ2UA5UKJV"
"32","PBK-00564/III/WPJ.20/KP.0703/2022","20220317","20210312","2,476,705","IDR","MASA","SETUJU","801494204","006","000","ASTRA MODERN LAND","411128","402","2","2021","007","801494204","006","000","ASTRA MODERN LAND","411128","402","2","2021","","007","9AB6B3ICP3EKMM8O"
"33","PBK-00565/III/WPJ.20/KP.0703/2022","20220317","20220113","80,181","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","920","1","2022","007","029985207","007","000","PARIT PADANG GLOBAL","411122","920","1","2022","","007","3EF5A3IDKNT2ERM8"
"34","PBK-00566/III/WPJ.20/KP.0703/2022","20220317","20220120","100,000","IDR","MASA_HUTANG","SETUJU","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","100","12","2021","007","032573461","005","000","JASAMARGA RELATED BUSINESS","411124","300","11","2020","00314/103/20/007/21","007","CBBCE1SDJB5DP3VQ"
"35","PBK-00567/III/WPJ.20/KP.0703/2022","20220317","20220120","100,000","IDR","MASA_HUTANG","SETUJU","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","100","12","2021","007","032573461","005","000","JASAMARGA RELATED BUSINESS","411124","300","3","2021","00552/103/21/007/21","007","CBBCE1SDJB5DP3VQ"
"36","PBK-00568/III/WPJ.20/KP.0703/2022","20220317","20220120","5,104,764","IDR","MASA_HUTANG","SETUJU","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","100","12","2021","007","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","300","4","2021","01049/101/21/007/21","007","CBBCE1SDJB5DP3VQ"
"37","PBK-00569/III/WPJ.20/KP.0703/2022","20220317","20220120","100,000","IDR","MASA_HUTANG","SETUJU","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","100","12","2021","007","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","300","3","2021","01087/101/21/007/21","007","CBBCE1SDJB5DP3VQ"
"38","PBK-00570/III/WPJ.20/KP.0703/2022","20220317","20220120","435,115","IDR","MASA_HUTANG","SETUJU","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","100","12","2021","007","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","300","9","2021","01081/101/21/007/21","007","CBBCE1SDJB5DP3VQ"
"39","PBK-00571/III/WPJ.20/KP.0703/2022","20220317","20220120","1,502,252","IDR","MASA_HUTANG","SETUJU","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","100","12","2021","007","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","300","7","2021","01083/101/21/007/21","007","CBBCE1SDJB5DP3VQ"
"40","PBK-00572/III/WPJ.20/KP.0703/2022","20220317","20220120","102,545,889","IDR","MASA_HUTANG","SETUJU","032573461","005","000","JASAMARGA RELATED BUSINESS","411121","100","12","2021","007","032573461","005","000","JASAMARGA RELATED BUSINESS","411126","300","9","2021","00624/106/21/007/21","007","CBBCE1SDJB5DP3VQ"
"41","PBK-00573/III/WPJ.20/KP.0703/2022","20220317","20211203","257,775","IDR","KIRIM","SETUJU","013261730","025","000","HARAPAN UTAMA","411128","420","11","2021","007","738357565","047","000","STEPHANIE CHANDRA WIJAYA","411128","420","11","2021","","047","F5637743GQE21GB8"
"42","PBK-00574/III/WPJ.20/KP.0703/2022","20220317","20220106","255,350","IDR","KIRIM","SETUJU","013261730","025","000","HARAPAN UTAMA","411128","420","12","2021","007","738357565","047","000","STEPHANIE CHANDRA WIJAYA","411128","420","11","2021","","047","835D50T5572PNBA3"
"43","PBK-00575/III/WPJ.20/KP.0703/2022","20220317","20201208","645,120","IDR","MASA","SETUJU","013050117","004","000","RAZZA LARAS INTERNATIONAL","411128","403","12","2020","007","013050117","004","000","RAZZA LARAS INTERNATIONAL","411128","403","11","2020","","007","7380D2LV03OUN2CL"
"44","PBK-00576/III/WPJ.20/KP.0703/2022","20220317","20210809","203,546","IDR","MASA","SETUJU","669744237","006","000","AMADA MACHINERY INDONESIA","411124","104","7","2021","007","669744237","006","000","AMADA MACHINERY INDONESIA","411121","100","3","2022","","007","6DCC783BJDL0THIN"
"45","PBK-00577/III/WPJ.20/KP.0703/2022","20220317","20211007","2,243,438","IDR","KIRIM","SETUJU","015480486","007","000","FASTRATA BUANA","411211","102","9","2021","007","000000000","007","000","THE ADLER GROUP","411211","102","2","2022","","007","D33F21PIBNFJ5A56"
"46","PBK-00578/III/WPJ.20/KP.0703/2022","20220317","20211229","2,583,630","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","920","12","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411122","920","12","2021","","007","279D03IDHN71GJGD"
"47","PBK-00551/III/WPJ.20/KP.0703/2022","20220314","20211216","351,000","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","920","12","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411122","920","12","2021","","007","036113IDHIPAHTNC"
"48","PBK-00552/III/WPJ.20/KP.0703/2022","20220314","20220119","5,990,700","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","900","12","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411122","920","12","2021","","007","3D8C31V8I6F6IVA6"
"49","PBK-00554/III/WPJ.20/KP.0703/2022","20220314","20220210","1,950,000","IDR","MASA","SETUJU","041725516","003","000","HENDRIK GUNAWAN","411128","420","1","2022","007","041725516","003","000","HENDRIK GUNAWAN","411128","420","2","2022","","007","84FF93IDNMAUTO0S"
"50","PBK-00555/III/WPJ.20/KP.0703/2022","20220314","20170608","33,724,476","IDR","MASA","SETUJU","032242562","008","000","HERBA PENAWAR ALWAHIDA INDONESIA","411124","104","6","2017","007","032242562","008","000","HERBA PENAWAR ALWAHIDA INDONESIA","411124","104","5","2017","","007","E08984SK1NB2KEO8"
"51","PBK-00556/III/WPJ.20/KP.0703/2022","20220314","20220307","1,247,470","IDR","MASA","SETUJU","010624088","002","000","SURYARAYA INVESTAMA","411124","100","2","2022","007","010624088","002","000","SURYARAYA INVESTAMA","411124","104","2","2022","","007","0239000NRC6U4LRG"
"52","PBK-00557/III/WPJ.20/KP.0703/2022","20220314","20220222","238,424,474","IDR","MASA","SETUJU","019201151","007","000","MEDIKALOKA HERMINA Tbk","411211","100","1","2021","007","019201151","007","000","MEDIKALOKA HERMINA Tbk","411211","100","3","2022","","007","EF0CF0T588JDQ1OV"
"53","PBK-00541/III/WPJ.20/KP.0703/2022","20220311","20220119","898,605","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411122","100","12","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411122","920","12","2021","","007","E49612RM211ITO51"
"54","PBK-00542/III/WPJ.20/KP.0703/2022","20220311","20220210","20,474,615","IDR","MASA","SETUJU","020101150","004","000","MUJUR JAYA ABADI","411121","100","1","2022","007","020101150","004","000","MUJUR JAYA ABADI","411126","100","1","2022","","007","3890280H6RAHGFJB"
"55","PBK-00543/III/WPJ.20/KP.0703/2022","20220311","20211202","146,429","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411122","910","11","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411211","910","11","2021","","007","89B6B5B8E717Q45I"
"56","PBK-00544/III/WPJ.20/KP.0703/2022","20220311","20220209","1,510,755","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411124","100","1","1999","007","029985207","007","000","PARIT PADANG GLOBAL","411124","100","1","2022","","007","869530T587F15B8F"
"57","PBK-00546/III/WPJ.20/KP.0703/2022","20220311","20220218","115,749,099","IDR","MASA","SETUJU","029065562","006","000","SWASTIKA AGRINDO MAS","411212","100","12","2021","007","029065562","006","000","SWASTIKA AGRINDO MAS","411211","100","12","2021","","007","1287A743N21QPMP3"
"58","PBK-00547/III/WPJ.20/KP.0703/2022","20220311","20220302","2,000,000","IDR","MASA","SETUJU","010017044","059","000","KADI INTERNATIONAL","411121","100","9","2021","007","010017044","059","000","KADI INTERNATIONAL","411121","100","1","2022","","007","C885A83C80TU9ABN"
"59","PBK-00548/III/WPJ.20/KP.0703/2022","20220311","20210610","28,669,868","IDR","MASA","SETUJU","023129521","004","000","PAMANDIRI","411126","100","5","2021","007","023129521","004","000","PAMANDIRI","411126","100","3","2022","","007","12BB476TTNC8JTF0"
"60","PBK-00549/III/WPJ.20/KP.0703/2022","20220311","20220110","3,733,482","IDR","MASA","SETUJU","752962001","005","000","GUNA ROGATE INDAH","411121","100","12","2021","007","752962001","005","000","GUNA ROGATE INDAH","411121","100","3","2022","","007","D75A24ER4I16U3KF"
"61","PBK-00550/III/WPJ.20/KP.0703/2022","20220311","20220302","720,089","IDR","KIRIM","SETUJU","010017044","059","000","KADI INTERNATIONAL","411121","401","12","2021","007","010017044","433","001","KADI INTERNATIONAL","411121","401","12","2021","","408","D4D1A83C80TU9I87"
"62","PBK-00539/III/WPJ.20/KP.0703/2022","20220309","20220210","3,168,780","IDR","MASA","SETUJU","315990689","004","000","NIAGA NUSA ABADI","411124","100","12","2021","007","315990689","004","000","NIAGA NUSA ABADI","411124","104","12","2021","","007","9910780H6RUGNG7V"
"63","PBK-00540/III/WPJ.20/KP.0703/2022","20220309","20211028","52,650","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","910","10","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411122","910","10","2021","","007","9D69303IAQQIK5FC"
"64","PBK-00538/III/WPJ.20/KP.0703/2022","20220308","20220210","176,375","IDR","MASA","SETUJU","704945807","435","000","PRATAMA WAHYU TEKNIK","411121","100","1","2022","007","704945807","435","000","PRATAMA WAHYU TEKNIK","411121","100","3","2022","","007","6F3205B8NCJRV4KA"
"65","PBK-00537/III/WPJ.20/KP.0703/2022","20220307","20220210","101,800","IDR","MASA","SETUJU","704945807","435","000","PRATAMA WAHYU TEKNIK","411121","100","1","2022","007","704945807","435","000","PRATAMA WAHYU TEKNIK","411121","100","2","2022","","007","6F3205B8NCJRV4KA"
"66","PBK-00534/III/WPJ.20/KP.0703/2022","20220304","20211003","100,000","IDR","MASA_HUTANG","SETUJU","853524858","003","000","AFIYAH HASANAH UTAMA","411121","390","0","2020","007","853524858","003","000","AFIYAH HASANAH UTAMA","411121","300","12","2020","00181/101/20/003/21","007","51A490T4RS6P09I7"
"67","PBK-00535/III/WPJ.20/KP.0703/2022","20220304","20211011","1,000,000","IDR","MASA_HUTANG","SETUJU","018845222","007","000","DASINDO MEDIA","411126","390","0","2020","007","018845222","007","000","DASINDO MEDIA","411126","300","0","2020","00247/106/20/007/21","007","6124B5B8B2JU4TMA"
"68","PBK-00536/III/WPJ.20/KP.0703/2022","20220304","20211130","745,276","IDR","MASA","SETUJU","018845222","007","000","DASINDO MEDIA","411126","390","0","2016","007","018845222","007","000","DASINDO MEDIA","411121","100","3","2022","","007","014DE00NF8DDJGVS"
"69","PBK-00531/III/WPJ.20/KP.0703/2022","20220302","20211230","391,750","IDR","MASA","SETUJU","026133637","005","000","RESTU PURNA BHAKTI HUSADA","411121","100","5","2021","007","026133637","005","000","RESTU PURNA BHAKTI HUSADA","411121","100","4","2022","","007","D03A93IDHOKOA5Q0"
"70","PBK-00532/III/WPJ.20/KP.0703/2022","20220302","20211206","492,525","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","920","12","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411122","920","12","2021","","007","087650T520R0KNON"
"71","PBK-00533/III/WPJ.20/KP.0703/2022","20220302","20211215","147,239","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","920","12","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411122","920","12","2021","","007","B84B61PIHUC0COND"
"72","PBK-00530/III/WPJ.20/KP.0703/2022","20220301","20211207","280,500","IDR","MASA","SETUJU","032967895","017","000","WIRYAMANTA SADINA","411128","403","11","2021","007","032967895","017","000","WIRYAMANTA SADINA","411128","403","3","2022","","007","394095E3FLHHDJJ2"
"73","PBK-00528/II/WPJ.20/KP.0703/2022","20220225","20201124","1,020,171","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411122","920","11","2020","007","029985207","007","000","PARIT PADANG GLOBAL","411122","920","11","2021","","007","6AAFA3ICCTPRF2M1"
"74","PBK-00529/II/WPJ.20/KP.0703/2022","20220225","20211230","2,818,640","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","920","12","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411122","920","12","2021","","007","5CACF67M181RMST8"
"75","PBK-00515/II/WPJ.20/KP.0703/2022","20220224","20210106","8,438,089","IDR","KIRIM","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","910","12","2020","007","001447069","434","000","RUMAH SAKIT PARU DR.M.GOENAWAN PARTOWIDIGDO CISARUA DITJEN PELAYANAN KESEHATAN KEMENTERIAN KESEHATAN","411121","100","3","2022","","434","F8FF767KVK994P9T"
"76","PBK-00516/II/WPJ.20/KP.0703/2022","20220224","20201124","5,250,000","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","920","11","2020","007","029985207","007","000","PARIT PADANG GLOBAL","411211","920","2","2022","","007","9ADCC3ICCT900R4F"
"77","PBK-00517/II/WPJ.20/KP.0703/2022","20220224","20201124","7,500,000","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","920","11","2020","007","029985207","007","000","PARIT PADANG GLOBAL","411211","920","2","2022","","007","B41F64EPSNRBJ7GR"
"78","PBK-00518/II/WPJ.20/KP.0703/2022","20220224","20220210","195,042,310","IDR","MASA","SETUJU","029066784","006","000","UNIVERSAL TEKNO REKSAJAYA","411121","100","1","2021","007","029066784","006","000","UNIVERSAL TEKNO REKSAJAYA","411121","100","1","2022","","007","6EA0D6AH5E1QK5GP"
"79","PBK-00519/II/WPJ.20/KP.0703/2022","20220224","20220210","591,082,731","IDR","MASA","SETUJU","029066784","006","000","UNIVERSAL TEKNO REKSAJAYA","411126","100","1","2021","007","029066784","006","000","UNIVERSAL TEKNO REKSAJAYA","411126","100","1","2022","","007","4772B4HM5OT1Q9G7"
"80","PBK-00520/II/WPJ.20/KP.0703/2022","20220224","20220210","80,570,771","IDR","MASA","SETUJU","029066784","006","000","UNIVERSAL TEKNO REKSAJAYA","411124","104","1","2021","007","029066784","006","000","UNIVERSAL TEKNO REKSAJAYA","411124","104","1","2022","","007","D3D153L8LUALD8FC"
"81","PBK-00521/II/WPJ.20/KP.0703/2022","20220224","20220210","5,191,047","IDR","MASA","SETUJU","029066784","006","000","UNIVERSAL TEKNO REKSAJAYA","411124","102","1","2021","007","029066784","006","000","UNIVERSAL TEKNO REKSAJAYA","411124","102","1","2022","","007","9BA0803IMK13P7HS"
"82","PBK-00522/II/WPJ.20/KP.0703/2022","20220224","20220210","64,000","IDR","MASA","SETUJU","029066784","006","000","UNIVERSAL TEKNO REKSAJAYA","411124","100","1","2021","007","029066784","006","000","UNIVERSAL TEKNO REKSAJAYA","411124","100","1","2022","","007","DF42F1006EJG66FR"
"83","PBK-00524/II/WPJ.20/KP.0703/2022","20220224","20180608","10,470,000","IDR","MASA","SETUJU","032573461","005","000","JASAMARGA RELATED BUSINESS","411128","409","5","2018","007","032573461","005","000","JASAMARGA RELATED BUSINESS","411124","100","5","2018","","007","CB9D22PLA8MJGR08"
"84","PBK-00525/II/WPJ.20/KP.0703/2022","20220224","20220131","400,000,000","IDR","MASA","SETUJU","029065562","006","000","SWASTIKA AGRINDO MAS","411211","100","1","2021","007","029065562","006","000","SWASTIKA AGRINDO MAS","411211","100","12","2021","","007","697CC0T559DT3AVB"
"85","PBK-00527/II/WPJ.20/KP.0703/2022","20220224","20220220","6,300,000","IDR","MASA","SETUJU","027481472","008","000","DEPORINDO TELEKOMUNIKASI","411124","100","12","2021","007","027481472","008","000","DEPORINDO TELEKOMUNIKASI","411124","104","12","2021","","007","11EF667M77UQC9MN"
"86","PBK-00506/II/WPJ.20/KP.0703/2022","20220222","20211028","229,705","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","910","10","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411122","910","10","2021","","007","A7AE02LVRL0TVC97"
"87","PBK-00507/II/WPJ.20/KP.0703/2022","20220222","20210618","81,000","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","920","6","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411122","920","6","2021","","007","4741167LHMBUTOUT"
"88","PBK-00508/II/WPJ.20/KP.0703/2022","20220222","20210618","29,055","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","920","6","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411122","920","6","2021","","007","EE8290T4IMTJSGOJ"
"89","PBK-00509/II/WPJ.20/KP.0703/2022","20220222","20211022","63,000","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","920","10","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411122","920","10","2021","","007","9B93100NC3MQ8DE6"
"90","PBK-00510/II/WPJ.20/KP.0703/2022","20220222","20220114","5,071,077","IDR","MASA","SETUJU","000000000","007","000","THE CONTINUITY COMPANY LIMITED","411211","102","12","2021","007","000000000","007","000","THE CONTINUITY COMPANY LIMITED","411211","102","1","2022","","007","D563C76UI9T50LG4"
"91","PBK-00511/II/WPJ.20/KP.0703/2022","20220222","20211112","741,961","IDR","MASA","SETUJU","029985207","007","000","PARIT PADANG GLOBAL","411211","920","11","2021","007","029985207","007","000","PARIT PADANG GLOBAL","411211","920","10","2021","","007","EB2AB4EQU9UAQCBV"
"92","PBK-00512/II/WPJ.20/KP.0703/2022","20220222","20220210","23,462,097","IDR","MASA","SETUJU","013473681","007","000","PP URBAN","411124","100","1","2022","007","013473681","007","000","PP URBAN","411124","104","1","2022","","007","910181PIO25BDBF6"
